type	emotion
hippie	39
hippie	31
hippie	29
hippie	32
hippie	25
hippie	35
hippie	46
hippie	20
hippie	52
hippie	31
hippie	25
hippie	43
hippie	40
hippie	49
hippie	44
hippie	29
hippie	46
hippie	42
hippie	46
hippie	37
hippie	45
hippie	30
hippie	36
hippie	38
hippie	47
hippie	37
hippie	44
hippie	34
hippie	42
hippie	35
hippie	36
hippie	38
hippie	38
hippie	30
hippie	36
hippie	45
hippie	41
hippie	52
hippie	33
hippie	39
sociopath	33
sociopath	39
sociopath	39
sociopath	38
sociopath	22
sociopath	30
sociopath	48
sociopath	67
sociopath	41
sociopath	35
sociopath	48
sociopath	37
sociopath	21
sociopath	47
sociopath	46
sociopath	30
sociopath	38
sociopath	37
sociopath	26
sociopath	34
sociopath	28
sociopath	34
sociopath	32
sociopath	37
sociopath	40
sociopath	44
sociopath	33
sociopath	44
sociopath	27
sociopath	42
sociopath	45
sociopath	37
sociopath	25
sociopath	32
sociopath	33
sociopath	34
sociopath	41
sociopath	62
sociopath	35
sociopath	46
stoic	59
stoic	49
stoic	47
stoic	49
stoic	40
stoic	50
stoic	50
stoic	42
stoic	41
stoic	42
stoic	56
stoic	40
stoic	42
stoic	33
stoic	38
stoic	41
stoic	32
stoic	28
stoic	64
stoic	50
stoic	50
stoic	44
stoic	49
stoic	33
stoic	42
stoic	62
stoic	49
stoic	64
stoic	46
stoic	59
stoic	39
stoic	52
stoic	49
stoic	48
stoic	51
stoic	42
stoic	37
stoic	59
stoic	53
stoic	49
