treat	stigma
tx	35
tx	24
tx	34
tx	27
tx	29
tx	24
tx	36
tx	34
tx	30
tx	21
tx	28
tx	34
tx	21
tx	22
tx	38
tx	21
tx	39
tx	29
tx	29
tx	25
tx	32
tx	25
tx	32
tx	31
tx	29
tx	27
tx	31
tx	27
tx	31
tx	22
tx	28
tx	20
tx	18
tx	30
tx	20
tx	27
tx	32
tx	24
tx	32
tx	36
tx	19
tx	23
tx	37
tx	25
tx	26
tx	34
tx	39
tx	26
tx	30
tx	31
notx	37
notx	39
notx	37
notx	37
notx	33
notx	39
notx	28
notx	38
notx	42
notx	26
notx	37
notx	37
notx	26
notx	40
notx	28
notx	36
notx	37
notx	24
notx	30
notx	22
notx	42
notx	38
notx	41
notx	27
notx	39
notx	37
notx	39
notx	45
notx	36
notx	49
notx	32
notx	22
notx	18
notx	33
notx	33
notx	37
notx	34
notx	32
notx	33
notx	37
notx	30
notx	38
notx	40
notx	33
notx	44
notx	36
notx	30
notx	39
notx	42
notx	43
