"adverts"	"sales"	"airplay"	"attract"	"stdresid"	"sturesid"	"resid"	"large.resid"
"1"	10.256	330	43	10	2.17740408238376	2.19859632992664	100.079745217441	TRUE
"2"	985.685	120	28	7	-2.32308277865479	-2.34972370774054	-108.948991725879	TRUE
"10"	174.093	300	40	7	2.13028877629469	2.14988206679835	99.5337512439587	TRUE
"47"	102.568	40	25	8	-2.46099615091923	-2.49353819149918	-114.969819283836	TRUE
"52"	405.913	190	12	4	2.0994462133587	2.1180343731112	97.4026614648238	TRUE
"55"	1542.329	190	33	8	-2.45591293513707	-2.48822405869727	-114.123081395714	TRUE
"61"	579.321	300	30	7	2.10407875290071	2.12281581017157	98.8102950217684	TRUE
"68"	56.895	70	37	7	-2.36354940981169	-2.39184465809468	-110.415641506173	TRUE
"100"	1000	250	5	7	2.09539916076742	2.11385783747159	97.2866609237864	TRUE
"164"	9.104	120	53	8	-2.62881409071654	-2.66958443005796	-121.32404875998	TRUE
"169"	145.585	360	42	8	3.09333296653134	3.16362189085597	144.132462293862	TRUE
"200"	785.694	110	20	9	-2.08804417375658	-2.1062689507417	-97.2060597036308	TRUE
