Stigma	Thoughts	Hope	Emotion
29	88	36	41
24	79	46	42
28	83	40	35
29	100	57	35
29	108	50	59
23	115	55	44
29	104	18	46
24	105	51	48
20	98	58	44
28	117	39	26
32	73	51	29
35	101	47	53
29	124	44	31
38	66	49	49
36	87	49	47
36	61	62	48
28	106	36	46
41	78	46	27
36	85	32	50
26	85	58	47
33	128	53	49
17	121	40	29
17	100	40	44
27	121	55	53
16	93	52	51
31	89	46	47
29	87	57	48
20	100	15	46
17	93	59	48
22	112	33	53
35	95	48	44
12	97	54	60
28	102	48	45
33	100	29	43
34	86	38	44
27	89	34	29
34	89	45	59
29	96	62	32
27	59	38	45
30	117	26	43
22	96	29	28
39	79	34	37
18	109	32	29
23	104	35	51
19	92	47	22
11	105	43	34
30	99	32	47
34	105	29	46
13	62	56	33
14	89	55	52
22	103	52	49
13	117	51	46
16	118	63	40
38	99	24	43
23	82	55	23
38	100	51	13
21	100	28	34
38	69	57	36
25	92	50	37
38	82	48	41
30	83	50	66
34	74	45	33
24	117	50	52
29	69	42	37
41	102	48	61
32	91	47	67
32	89	47	49
33	102	61	49
17	102	52	42
26	90	33	34
27	95	43	20
21	93	30	29
26	86	46	49
20	80	62	42
14	101	53	33
15	110	54	31
31	104	43	55
30	92	32	48
23	72	37	49
30	113	48	48
29	110	61	24
24	70	38	39
27	83	52	33
19	115	60	39
18	103	33	39
25	78	57	49
38	92	34	62
12	104	46	45
16	99	60	33
27	90	49	31
13	123	51	31
36	79	30	63
30	102	48	27
26	86	30	31
21	119	49	41
23	101	53	30
29	120	30	37
27	88	45	29
35	104	45	32
35	103	59	36
21	92	57	43
21	113	57	19
37	80	25	64
27	91	31	42
29	87	50	43
18	86	48	43
20	96	49	18
15	105	60	28
22	113	33	54
28	115	37	37
39	100	57	24
42	95	53	55
37	83	44	63
30	91	43	25
29	97	33	21
20	108	42	39
29	87	51	35
15	105	42	27
22	86	35	43
29	95	53	32
15	89	24	52
25	81	45	57
29	94	52	62
24	105	52	28
21	119	55	43
40	87	46	40
27	105	57	40
16	102	51	33
35	61	42	53
31	86	40	54
23	101	49	32
17	93	41	44
19	111	39	47
20	112	39	25
35	82	44	45
27	78	33	51
34	97	52	31
22	63	44	44
25	100	34	26
25	139	44	19
19	107	58	45
27	109	61	32
11	129	61	26
15	115	40	23
30	108	62	45
40	91	37	65
25	69	32	25
26	101	58	50
26	83	40	30
35	124	62	44
23	84	44	38
26	91	31	40
22	104	51	40
22	112	51	53
18	114	36	28
32	104	18	46
27	91	43	47
20	118	32	48
14	128	46	28
20	83	40	58
29	89	28	37
26	104	29	36
30	72	40	38
33	84	54	37
40	103	48	56
41	109	63	50
19	80	35	42
21	100	54	41
17	91	29	48
27	106	35	37
30	70	40	56
16	120	28	41
27	86	48	53
21	66	53	33
29	77	60	37
30	113	52	30
15	87	27	41
16	113	51	33
22	94	36	35
33	121	47	56
26	107	60	50
24	84	33	35
30	104	52	49
21	91	30	46
10	99	54	45
15	122	46	39
41	74	45	34
20	119	53	49
30	101	25	32
11	100	47	46
33	103	48	35
22	97	43	17
15	121	61	44
26	113	33	53
38	124	41	31
28	106	33	43
24	102	51	51
26	94	49	43
39	80	31	33
22	111	48	53
